normal_period,region_name,month,variable,variable_label,unit,normal_value,p33_33,p66_67,lower_tercile,middle_tercile,upper_tercile
1991-2020,강원도 영동,8,tavg,평균기온,degC,22.5259,21.6026,23.2076,< 21.6026 (낮음),21.6026 - 23.2076 (비슷),> 23.2076 (높음)
1991-2020,강원도 영동,9,precip,강수량,mm,219.4533,135.47,236.6685,< 135.47 (적음),135.47 - 236.6685 (비슷),> 236.6685 (많음)
1991-2020,강원도 영동,9,tavg,평균기온,degC,17.8418,17.6986,18.0645,< 17.6986 (낮음),17.6986 - 18.0645 (비슷),> 18.0645 (높음)
1991-2020,강원도 영동,10,precip,강수량,mm,91.2258,42.2137,99.6443,< 42.2137 (적음),42.2137 - 99.6443 (비슷),> 99.6443 (많음)
1991-2020,강원도 영동,10,tavg,평균기온,degC,12.4686,12.0446,12.7707,< 12.0446 (낮음),12.0446 - 12.7707 (비슷),> 12.7707 (높음)
1991-2020,강원도 영동,11,precip,강수량,mm,71.9242,32.0823,81.6407,< 32.0823 (적음),32.0823 - 81.6407 (비슷),> 81.6407 (많음)
1991-2020,강원도 영동,11,tavg,평균기온,degC,6.2169,5.6464,6.8426,< 5.6464 (낮음),5.6464 - 6.8426 (비슷),> 6.8426 (높음)
1991-2020,강원도 영동,12,precip,강수량,mm,32.7783,10.3228,26.9509,< 10.3228 (적음),10.3228 - 26.9509 (비슷),> 26.9509 (많음)
1991-2020,강원도 영동,12,tavg,평균기온,degC,-0.2619,-0.5978,0.651,< -0.5978 (낮음),-0.5978 - 0.651 (비슷),> 0.651 (높음)
1991-2020,강원도 영서,1,precip,강수량,mm,17.456,9.5455,16.0891,< 9.5455 (적음),9.5455 - 16.0891 (비슷),> 16.0891 (많음)
1991-2020,강원도 영서,1,tavg,평균기온,degC,-4.5074,-5.2594,-3.4682,< -5.2594 (낮음),-5.2594 - -3.4682 (비슷),> -3.4682 (높음)
1991-2020,강원도 영서,2,precip,강수량,mm,26.256,16.7171,33.8802,< 16.7171 (적음),16.7171 - 33.8802 (비슷),> 33.8802 (많음)
1991-2020,강원도 영서,2,tavg,평균기온,degC,-1.4607,-2.2553,-0.2817,< -2.2553 (낮음),-2.2553 - -0.2817 (비슷),> -0.2817 (높음)
1991-2020,강원도 영서,3,precip,강수량,mm,35.3833,21.326,37.807,< 21.326 (적음),21.326 - 37.807 (비슷),> 37.807 (많음)
1991-2020,강원도 영서,3,tavg,평균기온,degC,4.5049,3.8956,5.0857,< 3.8956 (낮음),3.8956 - 5.0857 (비슷),> 5.0857 (높음)
1991-2020,강원도 영서,4,precip,강수량,mm,71.624,48.1754,82.7238,< 48.1754 (적음),48.1754 - 82.7238 (비슷),> 82.7238 (많음)
1991-2020,강원도 영서,4,tavg,평균기온,degC,11.2355,10.4354,11.9202,< 10.4354 (낮음),10.4354 - 11.9202 (비슷),> 11.9202 (높음)
1991-2020,강원도 영서,5,precip,강수량,mm,96.3627,83.1353,108.3181,< 83.1353 (적음),83.1353 - 108.3181 (비슷),> 108.3181 (많음)
1991-2020,강원도 영서,5,tavg,평균기온,degC,17.0054,16.6565,17.3981,< 16.6565 (낮음),16.6565 - 17.3981 (비슷),> 17.3981 (높음)
1991-2020,강원도 영서,6,precip,강수량,mm,124.042,79.9864,139.8401,< 79.9864 (적음),79.9864 - 139.8401 (비슷),> 139.8401 (많음)
1991-2020,강원도 영서,6,tavg,평균기온,degC,21.55,21.221,21.9136,< 21.221 (낮음),21.221 - 21.9136 (비슷),> 21.9136 (높음)
1991-2020,강원도 영서,7,precip,강수량,mm,376.8187,260.0002,468.3803,< 260.0002 (적음),260.0002 - 468.3803 (비슷),> 468.3803 (많음)
1991-2020,강원도 영서,7,tavg,평균기온,degC,24.2825,23.866,24.7551,< 23.866 (낮음),23.866 - 24.7551 (비슷),> 24.7551 (높음)
1991-2020,강원도 영서,8,precip,강수량,mm,311.4587,189.3989,356.4368,< 189.3989 (적음),189.3989 - 356.4368 (비슷),> 356.4368 (많음)
1991-2020,강원도 영서,8,tavg,평균기온,degC,24.4873,23.9806,24.9919,< 23.9806 (낮음),23.9806 - 24.9919 (비슷),> 24.9919 (높음)
1991-2020,강원도 영서,9,precip,강수량,mm,133.002,66.4687,154.8414,< 66.4687 (적음),66.4687 - 154.8414 (비슷),> 154.8414 (많음)
1991-2020,강원도 영서,9,tavg,평균기온,degC,19.2441,18.7858,19.6432,< 18.7858 (낮음),18.7858 - 19.6432 (비슷),> 19.6432 (높음)
