normal_period,region_name,month,variable,variable_label,unit,normal_value,p33_33,p66_67,lower_tercile,middle_tercile,upper_tercile
1991-2020,대전-세종-충청남도,2,precip,강수량,mm,33.5044,24.4409,43.7905,< 24.4409 (적음),24.4409 - 43.7905 (비슷),> 43.7905 (많음)
1991-2020,대전-세종-충청남도,2,tavg,평균기온,degC,0.5559,0.107,1.0761,< 0.107 (낮음),0.107 - 1.0761 (비슷),> 1.0761 (높음)
1991-2020,대전-세종-충청남도,3,precip,강수량,mm,46.1033,32.4379,51.1315,< 32.4379 (적음),32.4379 - 51.1315 (비슷),> 51.1315 (많음)
1991-2020,대전-세종-충청남도,3,tavg,평균기온,degC,5.5206,5.0252,6.128,< 5.0252 (낮음),5.0252 - 6.128 (비슷),> 6.128 (높음)
1991-2020,대전-세종-충청남도,4,precip,강수량,mm,77.7617,58.9807,87.4155,< 58.9807 (적음),58.9807 - 87.4155 (비슷),> 87.4155 (많음)
1991-2020,대전-세종-충청남도,4,tavg,평균기온,degC,11.6621,11.1212,12.3435,< 11.1212 (낮음),11.1212 - 12.3435 (비슷),> 12.3435 (높음)
1991-2020,대전-세종-충청남도,5,precip,강수량,mm,89.7211,66.3591,113.8004,< 66.3591 (적음),66.3591 - 113.8004 (비슷),> 113.8004 (많음)
1991-2020,대전-세종-충청남도,5,tavg,평균기온,degC,17.3035,17.006,17.651,< 17.006 (낮음),17.006 - 17.651 (비슷),> 17.651 (높음)
1991-2020,대전-세종-충청남도,6,precip,강수량,mm,147.5378,96.8178,180.6165,< 96.8178 (적음),96.8178 - 180.6165 (비슷),> 180.6165 (많음)
1991-2020,대전-세종-충청남도,6,tavg,평균기온,degC,21.7475,21.3881,22.114,< 21.3881 (낮음),21.3881 - 22.114 (비슷),> 22.114 (높음)
1991-2020,대전-세종-충청남도,7,precip,강수량,mm,284.5378,221.8409,311.4856,< 221.8409 (적음),221.8409 - 311.4856 (비슷),> 311.4856 (많음)
1991-2020,대전-세종-충청남도,7,tavg,평균기온,degC,24.9664,24.6034,25.2745,< 24.6034 (낮음),24.6034 - 25.2745 (비슷),> 25.2745 (높음)
1991-2020,대전-세종-충청남도,8,precip,강수량,mm,287.06,203.6446,332.3314,< 203.6446 (적음),203.6446 - 332.3314 (비슷),> 332.3314 (많음)
1991-2020,대전-세종-충청남도,8,tavg,평균기온,degC,25.4644,24.9847,26.0478,< 24.9847 (낮음),24.9847 - 26.0478 (비슷),> 26.0478 (높음)
1991-2020,대전-세종-충청남도,9,precip,강수량,mm,142.5506,74.6766,186.5245,< 74.6766 (적음),74.6766 - 186.5245 (비슷),> 186.5245 (많음)
1991-2020,대전-세종-충청남도,9,tavg,평균기온,degC,20.6029,20.2194,20.7798,< 20.2194 (낮음),20.2194 - 20.7798 (비슷),> 20.7798 (높음)
1991-2020,대전-세종-충청남도,10,precip,강수량,mm,57.8222,27.7768,74.786,< 27.7768 (적음),27.7768 - 74.786 (비슷),> 74.786 (많음)
1991-2020,대전-세종-충청남도,10,tavg,평균기온,degC,13.9522,13.4498,14.5691,< 13.4498 (낮음),13.4498 - 14.5691 (비슷),> 14.5691 (높음)
1991-2020,대전-세종-충청남도,11,precip,강수량,mm,50.395,27.4164,52.8587,< 27.4164 (적음),27.4164 - 52.8587 (비슷),> 52.8587 (많음)
1991-2020,대전-세종-충청남도,11,tavg,평균기온,degC,7.1939,6.5475,7.8813,< 6.5475 (낮음),6.5475 - 7.8813 (비슷),> 7.8813 (높음)
1991-2020,대전-세종-충청남도,12,precip,강수량,mm,31.2417,24.7555,34.5648,< 24.7555 (적음),24.7555 - 34.5648 (비슷),> 34.5648 (많음)
1991-2020,대전-세종-충청남도,12,tavg,평균기온,degC,0.632,0.2114,1.5614,< 0.2114 (낮음),0.2114 - 1.5614 (비슷),> 1.5614 (높음)
1991-2020,부산-울산-경상남도,1,precip,강수량,mm,29.6397,17.784,34.3031,< 17.784 (적음),17.784 - 34.3031 (비슷),> 34.3031 (많음)
1991-2020,부산-울산-경상남도,1,tavg,평균기온,degC,1.4619,1.024,2.0348,< 1.024 (낮음),1.024 - 2.0348 (비슷),> 2.0348 (높음)
1991-2020,부산-울산-경상남도,2,precip,강수량,mm,45.057,34.4807,61.3679,< 34.4807 (적음),34.4807 - 61.3679 (비슷),> 61.3679 (많음)
1991-2020,부산-울산-경상남도,2,tavg,평균기온,degC,3.4731,3.031,3.9146,< 3.031 (낮음),3.031 - 3.9146 (비슷),> 3.9146 (높음)
1991-2020,부산-울산-경상남도,3,precip,강수량,mm,78.8324,53.5843,99.791,< 53.5843 (적음),53.5843 - 99.791 (비슷),> 99.791 (많음)
1991-2020,부산-울산-경상남도,3,tavg,평균기온,degC,7.8561,7.5001,8.4368,< 7.5001 (낮음),7.5001 - 8.4368 (비슷),> 8.4368 (높음)
1991-2020,부산-울산-경상남도,4,precip,강수량,mm,123.4167,95.6824,141.2493,< 95.6824 (적음),95.6824 - 141.2493 (비슷),> 141.2493 (많음)
1991-2020,부산-울산-경상남도,4,tavg,평균기온,degC,13.2115,12.8152,13.6766,< 12.8152 (낮음),12.8152 - 13.6766 (비슷),> 13.6766 (높음)
1991-2020,부산-울산-경상남도,5,precip,강수량,mm,136.4451,105.3579,157.1486,< 105.3579 (적음),105.3579 - 157.1486 (비슷),> 157.1486 (많음)
1991-2020,부산-울산-경상남도,5,tavg,평균기온,degC,17.9597,17.6204,18.307,< 17.6204 (낮음),17.6204 - 18.307 (비슷),> 18.307 (높음)
1991-2020,부산-울산-경상남도,6,precip,강수량,mm,182.7267,102.37,241.7824,< 102.37 (적음),102.37 - 241.7824 (비슷),> 241.7824 (많음)
1991-2020,부산-울산-경상남도,6,tavg,평균기온,degC,21.5811,21.4306,21.9583,< 21.4306 (낮음),21.4306 - 21.9583 (비슷),> 21.9583 (높음)
1991-2020,부산-울산-경상남도,7,precip,강수량,mm,304.6952,221.5822,322.1065,< 221.5822 (적음),221.5822 - 322.1065 (비슷),> 322.1065 (많음)
1991-2020,부산-울산-경상남도,7,tavg,평균기온,degC,24.9465,24.6213,25.5166,< 24.6213 (낮음),24.6213 - 25.5166 (비슷),> 25.5166 (높음)
1991-2020,부산-울산-경상남도,8,precip,강수량,mm,287.1006,162.2844,323.2205,< 162.2844 (적음),162.2844 - 323.2205 (비슷),> 323.2205 (많음)
1991-2020,부산-울산-경상남도,8,tavg,평균기온,degC,25.7985,25.3287,26.5845,< 25.3287 (낮음),25.3287 - 26.5845 (비슷),> 26.5845 (높음)
1991-2020,부산-울산-경상남도,9,precip,강수량,mm,179.0391,109.5991,238.2703,< 109.5991 (적음),109.5991 - 238.2703 (비슷),> 238.2703 (많음)
1991-2020,부산-울산-경상남도,9,tavg,평균기온,degC,21.5217,21.1241,21.9948,< 21.1241 (낮음),21.1241 - 21.9948 (비슷),> 21.9948 (높음)
1991-2020,부산-울산-경상남도,10,precip,강수량,mm,74.2206,38.2823,94.8801,< 38.2823 (적음),38.2823 - 94.8801 (비슷),> 94.8801 (많음)
1991-2020,부산-울산-경상남도,10,tavg,평균기온,degC,15.8092,15.2441,16.149,< 15.2441 (낮음),15.2441 - 16.149 (비슷),> 16.149 (높음)
1991-2020,부산-울산-경상남도,11,precip,강수량,mm,46.7109,22.0169,60.8424,< 22.0169 (적음),22.0169 - 60.8424 (비슷),> 60.8424 (많음)
1991-2020,부산-울산-경상남도,11,tavg,평균기온,degC,9.4741,8.8602,9.9739,< 8.8602 (낮음),8.8602 - 9.9739 (비슷),> 9.9739 (높음)
1991-2020,부산-울산-경상남도,12,precip,강수량,mm,28.1339,11.4935,36.4916,< 11.4935 (적음),11.4935 - 36.4916 (비슷),> 36.4916 (많음)
1991-2020,부산-울산-경상남도,12,tavg,평균기온,degC,3.4139,3.036,4.1832,< 3.036 (낮음),3.036 - 4.1832 (비슷),> 4.1832 (높음)
1991-2020,서울-인천-경기도,1,precip,강수량,mm,17.1494,8.311,15.5445,< 8.311 (적음),8.311 - 15.5445 (비슷),> 15.5445 (많음)
1991-2020,서울-인천-경기도,1,tavg,평균기온,degC,-2.5674,-2.9588,-1.8373,< -2.9588 (낮음),-2.9588 - -1.8373 (비슷),> -1.8373 (높음)
1991-2020,서울-인천-경기도,2,precip,강수량,mm,26.9594,15.883,35.9204,< 15.883 (적음),15.883 - 35.9204 (비슷),> 35.9204 (많음)
1991-2020,서울-인천-경기도,2,tavg,평균기온,degC,0.018,-0.2715,0.6,< -0.2715 (낮음),-0.2715 - 0.6 (비슷),> 0.6 (높음)
1991-2020,서울-인천-경기도,3,precip,강수량,mm,37.2794,19.9491,46.0732,< 19.9491 (적음),19.9491 - 46.0732 (비슷),> 46.0732 (많음)
1991-2020,서울-인천-경기도,3,tavg,평균기온,degC,5.4531,4.8561,5.7906,< 4.8561 (낮음),4.8561 - 5.7906 (비슷),> 5.7906 (높음)
1991-2020,서울-인천-경기도,4,precip,강수량,mm,70.6361,51.1592,77.6812,< 51.1592 (적음),51.1592 - 77.6812 (비슷),> 77.6812 (많음)
1991-2020,서울-인천-경기도,4,tavg,평균기온,degC,11.7648,11.1611,12.4132,< 11.1611 (낮음),11.1611 - 12.4132 (비슷),> 12.4132 (높음)
1991-2020,서울-인천-경기도,5,precip,강수량,mm,98.9122,75.1069,114.9634,< 75.1069 (적음),75.1069 - 114.9634 (비슷),> 114.9634 (많음)
1991-2020,서울-인천-경기도,5,tavg,평균기온,degC,17.3143,17.0073,17.7898,< 17.0073 (낮음),17.0073 - 17.7898 (비슷),> 17.7898 (높음)
1991-2020,서울-인천-경기도,6,precip,강수량,mm,121.8006,86.2467,125.5134,< 86.2467 (적음),86.2467 - 125.5134 (비슷),> 125.5134 (많음)
1991-2020,서울-인천-경기도,6,tavg,평균기온,degC,21.811,21.6007,22.1988,< 21.6007 (낮음),21.6007 - 22.1988 (비슷),> 22.1988 (높음)
1991-2020,서울-인천-경기도,7,precip,강수량,mm,377.6772,261.4427,427.8595,< 261.4427 (적음),261.4427 - 427.8595 (비슷),> 427.8595 (많음)
1991-2020,서울-인천-경기도,7,tavg,평균기온,degC,24.7111,24.1682,25.0614,< 24.1682 (낮음),24.1682 - 25.0614 (비슷),> 25.0614 (높음)
1991-2020,서울-인천-경기도,8,precip,강수량,mm,306.3872,173.4351,331.0878,< 173.4351 (적음),173.4351 - 331.0878 (비슷),> 331.0878 (많음)
1991-2020,서울-인천-경기도,8,tavg,평균기온,degC,25.4263,25.0128,25.711,< 25.0128 (낮음),25.0128 - 25.711 (비슷),> 25.711 (높음)
1991-2020,서울-인천-경기도,9,precip,강수량,mm,139.0789,55.9603,181.8369,< 55.9603 (적음),55.9603 - 181.8369 (비슷),> 181.8369 (많음)
1991-2020,서울-인천-경기도,9,tavg,평균기온,degC,20.7708,20.4457,21.0229,< 20.4457 (낮음),20.4457 - 21.0229 (비슷),> 21.0229 (높음)
1991-2020,서울-인천-경기도,10,precip,강수량,mm,51.8767,28.4943,63.1646,< 28.4943 (적음),28.4943 - 63.1646 (비슷),> 63.1646 (많음)
1991-2020,서울-인천-경기도,10,tavg,평균기온,degC,14.0873,13.5436,14.6041,< 13.5436 (낮음),13.5436 - 14.6041 (비슷),> 14.6041 (높음)
1991-2020,서울-인천-경기도,11,precip,강수량,mm,48.0972,33.7884,58.3953,< 33.7884 (적음),33.7884 - 58.3953 (비슷),> 58.3953 (많음)
1991-2020,서울-인천-경기도,11,tavg,평균기온,degC,6.717,5.8588,7.5005,< 5.8588 (낮음),5.8588 - 7.5005 (비슷),> 7.5005 (높음)
1991-2020,서울-인천-경기도,12,precip,강수량,mm,22.7183,15.6812,23.3174,< 15.6812 (적음),15.6812 - 23.3174 (비슷),> 23.3174 (많음)
1991-2020,서울-인천-경기도,12,tavg,평균기온,degC,-0.4002,-0.8483,0.6419,< -0.8483 (낮음),-0.8483 - 0.6419 (비슷),> 0.6419 (높음)
1991-2020,전라북도,1,precip,강수량,mm,30.4495,21.4172,34.1629,< 21.4172 (적음),21.4172 - 34.1629 (비슷),> 34.1629 (많음)
1991-2020,전라북도,1,tavg,평균기온,degC,-1.0655,-1.6398,-0.5701,< -1.6398 (낮음),-1.6398 - -0.5701 (비슷),> -0.5701 (높음)
1991-2020,전라북도,2,precip,강수량,mm,38.5419,27.9702,47.302,< 27.9702 (적음),27.9702 - 47.302 (비슷),> 47.302 (많음)
1991-2020,전라북도,2,tavg,평균기온,degC,0.948,0.4933,1.4904,< 0.4933 (낮음),0.4933 - 1.4904 (비슷),> 1.4904 (높음)
1991-2020,전라북도,3,precip,강수량,mm,53.7457,37.4455,57.2652,< 37.4455 (적음),37.4455 - 57.2652 (비슷),> 57.2652 (많음)
1991-2020,전라북도,3,tavg,평균기온,degC,5.6719,5.2969,6.393,< 5.2969 (낮음),5.2969 - 6.393 (비슷),> 6.393 (높음)
1991-2020,전라북도,4,precip,강수량,mm,83.4667,60.5452,91.8583,< 60.5452 (적음),60.5452 - 91.8583 (비슷),> 91.8583 (많음)
1991-2020,전라북도,4,tavg,평균기온,degC,11.6474,11.219,12.3835,< 11.219 (낮음),11.219 - 12.3835 (비슷),> 12.3835 (높음)
1991-2020,전라북도,5,precip,강수량,mm,88.2014,62.6368,107.1697,< 62.6368 (적음),62.6368 - 107.1697 (비슷),> 107.1697 (많음)
1991-2020,전라북도,5,tavg,평균기온,degC,17.2285,16.9155,17.6183,< 16.9155 (낮음),16.9155 - 17.6183 (비슷),> 17.6183 (높음)
1991-2020,전라북도,6,precip,강수량,mm,147.4167,103.0687,176.8937,< 103.0687 (적음),103.0687 - 176.8937 (비슷),> 176.8937 (많음)
1991-2020,전라북도,6,tavg,평균기온,degC,21.5824,21.3302,21.9105,< 21.3302 (낮음),21.3302 - 21.9105 (비슷),> 21.9105 (높음)
1991-2020,전라북도,7,precip,강수량,mm,298.2657,220.9134,334.4237,< 220.9134 (적음),220.9134 - 334.4237 (비슷),> 334.4237 (많음)
1991-2020,전라북도,7,tavg,평균기온,degC,24.9662,24.563,25.3932,< 24.563 (낮음),24.563 - 25.3932 (비슷),> 25.3932 (높음)
1991-2020,전라북도,8,precip,강수량,mm,296.7829,211.4823,374.3868,< 211.4823 (적음),211.4823 - 374.3868 (비슷),> 374.3868 (많음)
1991-2020,전라북도,8,tavg,평균기온,degC,25.3661,24.9055,25.9656,< 24.9055 (낮음),24.9055 - 25.9656 (비슷),> 25.9656 (높음)
1991-2020,전라북도,9,precip,강수량,mm,141.1029,77.4988,185.0275,< 77.4988 (적음),77.4988 - 185.0275 (비슷),> 185.0275 (많음)
1991-2020,전라북도,9,tavg,평균기온,degC,20.6102,20.1667,20.8253,< 20.1667 (낮음),20.1667 - 20.8253 (비슷),> 20.8253 (높음)
1991-2020,전라북도,10,precip,강수량,mm,58.901,34.0345,64.3638,< 34.0345 (적음),34.0345 - 64.3638 (비슷),> 64.3638 (많음)
1991-2020,전라북도,10,tavg,평균기온,degC,14.054,13.5888,14.6492,< 13.5888 (낮음),13.5888 - 14.6492 (비슷),> 14.6492 (높음)
1991-2020,전라북도,11,precip,강수량,mm,51.2414,28.3229,54.8731,< 28.3229 (적음),28.3229 - 54.8731 (비슷),> 54.8731 (많음)
1991-2020,전라북도,11,tavg,평균기온,degC,7.5418,6.7688,8.2233,< 6.7688 (낮음),6.7688 - 8.2233 (비슷),> 8.2233 (높음)
1991-2020,전라북도,12,precip,강수량,mm,36.8843,28.3123,45.829,< 28.3123 (적음),28.3123 - 45.829 (비슷),> 45.829 (많음)
1991-2020,전라북도,12,tavg,평균기온,degC,1.1197,0.7423,2.0101,< 0.7423 (낮음),0.7423 - 2.0101 (비슷),> 2.0101 (높음)
1991-2020,제주,1,precip,강수량,mm,61.5792,43.3991,68.9596,< 43.3991 (적음),43.3991 - 68.9596 (비슷),> 68.9596 (많음)
1991-2020,제주,1,tavg,평균기온,degC,6.1994,5.7973,6.6129,< 5.7973 (낮음),5.7973 - 6.6129 (비슷),> 6.6129 (높음)
1991-2020,제주,2,precip,강수량,mm,66.5175,54.5924,82.2027,< 54.5924 (적음),54.5924 - 82.2027 (비슷),> 82.2027 (많음)
1991-2020,제주,2,tavg,평균기온,degC,6.9832,6.7384,7.5165,< 6.7384 (낮음),6.7384 - 7.5165 (비슷),> 7.5165 (높음)
1991-2020,제주,3,precip,강수량,mm,109.125,88.8806,133.5525,< 88.8806 (적음),88.8806 - 133.5525 (비슷),> 133.5525 (많음)
1991-2020,제주,3,tavg,평균기온,degC,9.9183,9.6301,10.3385,< 9.6301 (낮음),9.6301 - 10.3385 (비슷),> 10.3385 (높음)
1991-2020,제주,4,precip,강수량,mm,133.1875,91.4824,151.0883,< 91.4824 (적음),91.4824 - 151.0883 (비슷),> 151.0883 (많음)
1991-2020,제주,4,tavg,평균기온,degC,14.0769,13.8426,14.5063,< 13.8426 (낮음),13.8426 - 14.5063 (비슷),> 14.5063 (높음)
1991-2020,제주,5,precip,강수량,mm,153.7225,97.6833,178.9493,< 97.6833 (적음),97.6833 - 178.9493 (비슷),> 178.9493 (많음)
1991-2020,제주,5,tavg,평균기온,degC,17.9858,17.7034,18.3764,< 17.7034 (낮음),17.7034 - 18.3764 (비슷),> 18.3764 (높음)
1991-2020,제주,6,precip,강수량,mm,207.1933,154.5558,255.7564,< 154.5558 (적음),154.5558 - 255.7564 (비슷),> 255.7564 (많음)
1991-2020,제주,6,tavg,평균기온,degC,21.3047,21.1858,21.6125,< 21.1858 (낮음),21.1858 - 21.6125 (비슷),> 21.6125 (높음)
1991-2020,제주,7,precip,강수량,mm,231.245,148.698,295.0678,< 148.698 (적음),148.698 - 295.0678 (비슷),> 295.0678 (많음)
1991-2020,제주,7,tavg,평균기온,degC,25.464,24.8434,26.3025,< 24.8434 (낮음),24.8434 - 26.3025 (비슷),> 26.3025 (높음)
1991-2020,제주,8,precip,강수량,mm,283.29,206.6547,314.6584,< 206.6547 (적음),206.6547 - 314.6584 (비슷),> 314.6584 (많음)
1991-2020,제주,8,tavg,평균기온,degC,26.8312,26.4493,27.6559,< 26.4493 (낮음),26.4493 - 27.6559 (비슷),> 27.6559 (높음)
1991-2020,제주,9,precip,강수량,mm,201.4017,115.0576,235.1858,< 115.0576 (적음),115.0576 - 235.1858 (비슷),> 235.1858 (많음)
1991-2020,제주,9,tavg,평균기온,degC,23.4037,23.0197,23.7573,< 23.0197 (낮음),23.0197 - 23.7573 (비슷),> 23.7573 (높음)
1991-2020,제주,10,precip,강수량,mm,91.5867,51.8195,103.6828,< 51.8195 (적음),51.8195 - 103.6828 (비슷),> 103.6828 (많음)
1991-2020,제주,10,tavg,평균기온,degC,18.7098,18.4916,19.0339,< 18.4916 (낮음),18.4916 - 19.0339 (비슷),> 19.0339 (높음)
1991-2020,제주,11,precip,강수량,mm,79.68,34.3823,92.6469,< 34.3823 (적음),34.3823 - 92.6469 (비슷),> 92.6469 (많음)
1991-2020,제주,11,tavg,평균기온,degC,13.53,12.7771,14.0503,< 12.7771 (낮음),12.7771 - 14.0503 (비슷),> 14.0503 (높음)
1991-2020,제주,12,precip,강수량,mm,57.6567,41.4827,70.4202,< 41.4827 (적음),41.4827 - 70.4202 (비슷),> 70.4202 (많음)
1991-2020,제주,12,tavg,평균기온,degC,8.3966,7.7295,9.2189,< 7.7295 (낮음),7.7295 - 9.2189 (비슷),> 9.2189 (높음)
1991-2020,중부지역,1,precip,강수량,mm,23.4872,14.7625,26.4216,< 14.7625 (적음),14.7625 - 26.4216 (비슷),> 26.4216 (많음)
1991-2020,중부지역,1,tavg,평균기온,degC,-2.7761,-3.3238,-2.2428,< -3.3238 (낮음),-3.3238 - -2.2428 (비슷),> -2.2428 (높음)
1991-2020,중부지역,2,precip,강수량,mm,31.6823,23.2473,40.8122,< 23.2473 (적음),23.2473 - 40.8122 (비슷),> 40.8122 (많음)
1991-2020,중부지역,2,tavg,평균기온,degC,-0.3201,-0.8463,0.5263,< -0.8463 (낮음),-0.8463 - 0.5263 (비슷),> 0.5263 (높음)
1991-2020,중부지역,3,precip,강수량,mm,44.4804,33.1278,49.1526,< 33.1278 (적음),33.1278 - 49.1526 (비슷),> 49.1526 (많음)
1991-2020,중부지역,3,tavg,평균기온,degC,5.0099,4.4457,5.5149,< 4.4457 (낮음),4.4457 - 5.5149 (비슷),> 5.5149 (높음)
1991-2020,중부지역,4,precip,강수량,mm,76.1499,56.952,87.0242,< 56.952 (적음),56.952 - 87.0242 (비슷),> 87.0242 (많음)
1991-2020,중부지역,4,tavg,평균기온,degC,11.3883,10.7938,12.0119,< 10.7938 (낮음),10.7938 - 12.0119 (비슷),> 12.0119 (높음)
1991-2020,중부지역,5,precip,강수량,mm,93.0649,74.7361,112.3998,< 74.7361 (적음),74.7361 - 112.3998 (비슷),> 112.3998 (많음)
1991-2020,중부지역,5,tavg,평균기온,degC,16.9366,16.5286,17.2316,< 16.5286 (낮음),16.5286 - 17.2316 (비슷),> 17.2316 (높음)
1991-2020,중부지역,6,precip,강수량,mm,134.3237,89.5402,153.8156,< 89.5402 (적음),89.5402 - 153.8156 (비슷),> 153.8156 (많음)
1991-2020,중부지역,6,tavg,평균기온,degC,21.2511,21.0369,21.6157,< 21.0369 (낮음),21.0369 - 21.6157 (비슷),> 21.6157 (높음)
1991-2020,중부지역,7,precip,강수량,mm,326.6706,249.677,355.0147,< 249.677 (적음),249.677 - 355.0147 (비슷),> 355.0147 (많음)
1991-2020,중부지역,7,tavg,평균기온,degC,24.2621,23.8872,24.7832,< 23.8872 (낮음),23.8872 - 24.7832 (비슷),> 24.7832 (높음)
1991-2020,중부지역,8,precip,강수량,mm,298.6435,227.5138,335.5649,< 227.5138 (적음),227.5138 - 335.5649 (비슷),> 335.5649 (많음)
1991-2020,중부지역,8,tavg,평균기온,degC,24.6781,24.2371,25.2505,< 24.2371 (낮음),24.2371 - 25.2505 (비슷),> 25.2505 (높음)
1991-2020,중부지역,9,precip,강수량,mm,151.2891,83.5804,190.8373,< 83.5804 (적음),83.5804 - 190.8373 (비슷),> 190.8373 (많음)
1991-2020,중부지역,9,tavg,평균기온,degC,19.7647,19.4549,20.012,< 19.4549 (낮음),19.4549 - 20.012 (비슷),> 20.012 (높음)
1991-2020,중부지역,10,precip,강수량,mm,59.8578,34.3054,66.8645,< 34.3054 (적음),34.3054 - 66.8645 (비슷),> 66.8645 (많음)
1991-2020,중부지역,10,tavg,평균기온,degC,13.2245,12.6739,13.7433,< 12.6739 (낮음),12.6739 - 13.7433 (비슷),> 13.7433 (높음)
1991-2020,중부지역,11,precip,강수량,mm,50.6356,30.5763,59.6718,< 30.5763 (적음),30.5763 - 59.6718 (비슷),> 59.6718 (많음)
1991-2020,중부지역,11,tavg,평균기온,degC,6.2662,5.3507,6.9493,< 5.3507 (낮음),5.3507 - 6.9493 (비슷),> 6.9493 (높음)
1991-2020,중부지역,12,precip,강수량,mm,26.7224,19.6627,25.6848,< 19.6627 (적음),19.6627 - 25.6848 (비슷),> 25.6848 (많음)
1991-2020,중부지역,12,tavg,평균기온,degC,-0.5787,-1.1516,0.3188,< -1.1516 (낮음),-1.1516 - 0.3188 (비슷),> 0.3188 (높음)
1991-2020,충청북도,1,precip,강수량,mm,21.6787,14.0992,21.9269,< 14.0992 (적음),14.0992 - 21.9269 (비슷),> 21.9269 (많음)
1991-2020,충청북도,1,tavg,평균기온,degC,-2.8576,-3.4914,-2.2701,< -3.4914 (낮음),-3.4914 - -2.2701 (비슷),> -2.2701 (높음)
1991-2020,충청북도,2,precip,강수량,mm,31.5587,19.2062,39.5675,< 19.2062 (적음),19.2062 - 39.5675 (비슷),> 39.5675 (많음)
1991-2020,충청북도,2,tavg,평균기온,degC,-0.3419,-0.9894,0.3959,< -0.9894 (낮음),-0.9894 - 0.3959 (비슷),> 0.3959 (높음)
1991-2020,충청북도,3,precip,강수량,mm,46.9093,33.0519,47.8875,< 33.0519 (적음),33.0519 - 47.8875 (비슷),> 47.8875 (많음)
1991-2020,충청북도,3,tavg,평균기온,degC,5.1796,4.7522,5.6635,< 4.7522 (낮음),4.7522 - 5.6635 (비슷),> 5.6635 (높음)
1991-2020,충청북도,4,precip,강수량,mm,79.3753,56.2996,94.1677,< 56.2996 (적음),56.2996 - 94.1677 (비슷),> 94.1677 (많음)
1991-2020,충청북도,4,tavg,평균기온,degC,11.7169,11.0881,12.6075,< 11.0881 (낮음),11.0881 - 12.6075 (비슷),> 12.6075 (높음)
1991-2020,충청북도,5,precip,강수량,mm,87.9933,63.5326,107.3367,< 63.5326 (적음),63.5326 - 107.3367 (비슷),> 107.3367 (많음)
1991-2020,충청북도,5,tavg,평균기온,degC,17.2527,16.7701,17.6467,< 16.7701 (낮음),16.7701 - 17.6467 (비슷),> 17.6467 (높음)
1991-2020,충청북도,6,precip,강수량,mm,143.054,85.6722,173.4806,< 85.6722 (적음),85.6722 - 173.4806 (비슷),> 173.4806 (많음)
1991-2020,충청북도,6,tavg,평균기온,degC,21.6022,21.3522,21.9769,< 21.3522 (낮음),21.3522 - 21.9769 (비슷),> 21.9769 (높음)
1991-2020,충청북도,7,precip,강수량,mm,301.9667,206.7904,360.109,< 206.7904 (적음),206.7904 - 360.109 (비슷),> 360.109 (많음)
1991-2020,충청북도,7,tavg,평균기온,degC,24.4525,23.9294,24.9316,< 23.9294 (낮음),23.9294 - 24.9316 (비슷),> 24.9316 (높음)
1991-2020,충청북도,8,precip,강수량,mm,281.7247,218.2451,323.6543,< 218.2451 (적음),218.2451 - 323.6543 (비슷),> 323.6543 (많음)
1991-2020,충청북도,8,tavg,평균기온,degC,24.7494,24.2901,25.1763,< 24.2901 (낮음),24.2901 - 25.1763 (비슷),> 25.1763 (높음)
1991-2020,충청북도,9,precip,강수량,mm,140.1833,82.9087,169.1585,< 82.9087 (적음),82.9087 - 169.1585 (비슷),> 169.1585 (많음)
1991-2020,충청북도,9,tavg,평균기온,degC,19.6103,19.2605,19.8565,< 19.2605 (낮음),19.2605 - 19.8565 (비슷),> 19.8565 (높음)
1991-2020,충청북도,10,precip,강수량,mm,57.3547,28.8864,63.4744,< 28.8864 (적음),28.8864 - 63.4744 (비슷),> 63.4744 (많음)
1991-2020,충청북도,10,tavg,평균기온,degC,12.8441,12.3729,13.3902,< 12.3729 (낮음),12.3729 - 13.3902 (비슷),> 13.3902 (높음)
1991-2020,충청북도,11,precip,강수량,mm,43.514,25.5959,46.4934,< 25.5959 (적음),25.5959 - 46.4934 (비슷),> 46.4934 (많음)
1991-2020,충청북도,11,tavg,평균기온,degC,5.9283,4.9875,6.789,< 4.9875 (낮음),4.9875 - 6.789 (비슷),> 6.789 (높음)
1991-2020,충청북도,12,precip,강수량,mm,26.0353,17.226,31.7812,< 17.226 (적음),17.226 - 31.7812 (비슷),> 31.7812 (많음)
1991-2020,충청북도,12,tavg,평균기온,degC,-0.8613,-1.3657,0.1627,< -1.3657 (낮음),-1.3657 - 0.1627 (비슷),> 0.1627 (높음)
